Section,TMDB ID,Name,First Air Date,Missing Where-to-Watch,Missing Description
Classics,195961,"أحلى الكلام أو  مدينة القواعد",1999-03-08,YES,
Classics,90991,"Stray Light",1998-12-20,YES,
Classics,95956,"Return of Ghawar",1998-12-19,YES,
Classics,287073,"الثريا",1998-12-19,YES,YES
Classics,197198,"حكايات قبل أن تنزل الآيات",1998-08-01,YES,
Classics,276493,"Fadhaiat",1997-09-30,YES,
Classics,84300,"Harun Al Rashid",1997-01-10,YES,
Classics,53619,"W Enta Amel Eh",1997-01-10,YES,YES
Classics,248848,"The Bird and The Storm",1997-01-10,YES,
Classics,196097,"صندوق الدنيا",1996-05-13,YES,
Classics,195603,"The Wedge",1996-05-09,YES,
Classics,205514,"Hysteria",1996-03-08,YES,
Classics,52697,"I Will Not Live in the Shadow of My Father",1996-01-21,YES,
Classics,55991,"Wanees's Diaries",1994-02-12,YES,
Classics,90994,"Arabesque: The Days of Hassan Al-Noaamany",1994-02-11,YES,
Classics,217165,"The End of a Brave Man",1994-02-11,YES,
Classics,244988,"Sulaiman Al-Tayeb",1993-03-07,YES,
Classics,129287,"The Fortune and the Progeny",1992-03-04,YES,
Classics,96678,"Aldighri",1992-01-01,YES,
Classics,53618,"The Miser and I",1991-07-01,YES,
Classics,296331,"The Timberwood Tales",1991-01-04,YES,YES
Classics,104031,"The Family Of Mr. Shalash",1990-03-27,YES,
Classics,278760,"الثلاثية",1987-04-19,YES,YES
Classics,199002,"Ruqaya and Sabeeka",1986-05-10,YES,
Classics,296184,"Chlorofilla vom blauen Himmel",1984-07-16,YES,YES
Classics,62098,"My Aunt Qumasha",1983-06-27,YES,
Classics,201182,"To Dad and Mom with Love",1980-10-01,YES,
Classics,310748,"Cat's Head",1980-01-12,YES,
Classics,257614,"Space Adventures",1979-02-27,YES,
Classics,201158,"Habbabah",1978-05-07,YES,
Classics,233206,"The Black Cat",1964-05-10,YES,
New Releases,299648,"Civil War",2027-02-01,YES,YES
New Releases,320518,"Duplicate",2026-04-23,YES,YES
New Releases,318847,"Hidden Conscience",2026-04-06,YES,
New Releases,319263,"The Voice Kids: Ahla Sawt",2026-04-03,YES,
New Releases,318188,"Alkhallat+: The Series",2026-04-02,YES,
New Releases,315831,"Al Dahaya",2026-03-05,YES,
New Releases,316533,"Tayar",2026-03-04,YES,
New Releases,306197,"El Masida",2026-02-19,YES,
New Releases,310559,"El Saraya El Safra",2026-02-19,YES,
New Releases,314591,"ديقوردي",2026-02-19,YES,YES
New Releases,314568,"Makarem",2026-02-19,YES,
New Releases,314542,"Explorer",2026-02-19,YES,YES
New Releases,314480,"El Hesn",2026-02-19,YES,
New Releases,309004,"Crime of Love",2026-02-19,YES,
New Releases,314986,"Sawa'edna",2026-02-19,YES,
New Releases,314800,"امام من ذهب",2026-02-19,YES,YES
New Releases,314727,"مولات الدار",2026-02-19,YES,YES
New Releases,303699,"El Bakht",2026-02-18,YES,
New Releases,297621,"Fakhr El Dilta",2026-02-18,YES,
New Releases,246788,"Ithbat Nasab",2026-02-18,YES,
New Releases,313219,"Rouge Aswad",2026-02-18,YES,
New Releases,314464,"The enemy Syrians",2026-02-18,YES,
New Releases,314369,"Muluk Al Yemen",2026-02-18,YES,
New Releases,314234,"The Daughter of  Al-Noaman",2026-02-18,YES,
New Releases,313858,"Exiting to the Well",2026-02-18,YES,
New Releases,309843,"The Weaver",2026-02-18,YES,
New Releases,297385,"City Kitchen",2026-02-18,YES,
New Releases,315315,"النهاية",2026-02-18,YES,YES
New Releases,314683,"النهاية - رمضان 2026",2026-02-18,YES,YES
New Releases,314580,"Freeze",2026-02-18,YES,
New Releases,314547,"Nuruha Fiha",2026-02-18,YES,
New Releases,314457,"خير جليس",2026-02-18,YES,YES
